Description,Category
Bus stop shelter at School damaged and unsafe.,Transport
Group of men harassing women near Bus Stand.,Police
Building being constructed without permission near Highway.,Development Authority
Frequent delays in public buses at Highway.,Transport
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
broken road divider @ market cre@ing risk fr vehicles.,Public Works Department
no sanit@ion workers seen fr a week @ highway.,Municipal
Frequent delays in public buses at Metro Station.,Transport
"Road divider missing near Market, causing accidents.",Transport
Cement road at Metro Station cracked within a week of repair. pls do something asap!,Public Works Department
Street repair left incomplete at Hospital.,Public Works Department
Officials not responding to grievance at Temple.,CM Office (Miscellaneous)
Newly constructed footpath at Temple already broken.,Public Works Department
Drainage blocked near Bus Stand causing flooding.,Public Works Department
Plot boundaries changed illegally near Hospital.,Development Authority
Land dispute reported at Colony.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Newly constructed footpath at Bus Stand already broken.,Public Works Department
Garbage not collected for 11 days near Temple.,Municipal
buses not stopping @ temple despite schedule.,Transport
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Heavy vehicles blocking main road near Park.,Transport
Encroachment on government land near School.,Development Authority
"Loud music playing late night at School, no action taken.",Police
"Road divider missing near School, causing accidents.",Transport
Heavy vehicles blocking main road near Main Road. pls do something asap!,Transport
Plot boundaries changed illegally near Bus Stand.,Development Authority
Public nuisance by drunk people at Highway.,Police
"Burglary reported at Colony, no investigation done.",Police
Dumping of debris on open land near Temple.,Development Authority
Still waiting for action on request raised 5 days ago.,CM Office (Miscellaneous)
Group of men harassing women near Main Road.,Police
Bus stop shelter at Bus Stand damaged and unsafe.,Transport
Grievance No. CM8399 pending without update.,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
grievance no. cm7683 pending without upd@e.,CM Office (Miscellaneous)
Unauthorized shops set up near Market.,Development Authority
overhead bridge construction delayed n highway.,Public Works Department
Newly constructed footpath at Main Road already broken.,Public Works Department
"road divider missing n park, causing accidents.",Transport
Newly constructed footpath at Bus Stand already broken.,Public Works Department
Public toilet at School is dirty and broken.,Municipal
Grievance No. CM1856 pending without update.,CM Office (Miscellaneous)
"Theft occurred at Market, no police arrived yet.",Police
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Cement road at Highway cracked within a week of repair.,Public Works Department
Overhead bridge construction delayed near Metro Station.,Public Works Department
Broken road divider at Bus Stand creating risk for vehicles.,Public Works Department
Public toilet at Main Road is dirty and broken. pls do something asap!,Municipal
Plot boundaries changed illegally near School.,Development Authority
Footpath tiles uneven and dangerous near Bus Stand.,Public Works Department
Frequent traffic jams near Metro Station.,Transport
Online complaint portal not working for several days.,CM Office (Miscellaneous)
"road divider missing n bus stand, causing accidents.",Transport
Stray dogs attacking people near Market. pls do something asap!,Municipal
Frequent traffic jams near Colony.,Transport
Plot boundaries changed illegally near Colony.,Development Authority
Dumping of debris on open land near School.,Development Authority
Building being constructed without permission near Colony.,Development Authority
"Streetlight not working in Park, unsafe at night.",Municipal
Water supply disrupted since 7 days in Bus Stand.,Municipal
No sanitation workers seen for a week at Temple. pls do something asap!,Municipal
assault reported outside school.,Police
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Heavy vehicles blocking main road near Temple.,Transport
Group of men harassing women near Main Road.,Police
Group of men harassing women near Temple.,Police
Bus stop shelter at Temple damaged and unsafe. pls do something asap!,Transport
Cement road at Bus Stand cracked within a week of repair.,Public Works Department
Public toilet at School is dirty and broken.,Municipal
Plot boundaries changed illegally near Colony.,Development Authority
"Theft occurred at Temple, no police arrived yet. pls do something asap!",Police
Cement road at Highway cracked within a week of repair.,Public Works Department
street repair left incomplete @ colony.,Public Works Department
filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Public toilet at Bus Stand is dirty and broken.,Municipal
public nuisance by drunk people @ main road.,Police
"Streetlight not working in Colony, unsafe at night.",Municipal
Dumping of debris on open land near Park.,Development Authority
"Burglary reported at Bus Stand, no investigation done.",Police
Chain snatching reported yesterday near School.,Police
Grievance No. CM6714 pending without update.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Plot boundaries changed illegally near Bus Stand.,Development Authority
Chain snatching reported yesterday near Bus Stand.,Police
"Drainage overflow at Main Road, foul smell everywhere.",Municipal
Frequent delays in public buses at Bus Stand.,Transport
Officials not responding to grievance at Temple.,CM Office (Miscellaneous)
"Loud music playing late night at School, no action taken.",Police
Frequent traffic jams near Bus Stand.,Transport
Water supply disrupted since 7 days in Metro Station.,Municipal
Road at Market has deep potholes causing accidents.,Public Works Department
Auto drivers overcharging passengers near Market.,Transport
Still waiting for action on request raised 13 days ago.,CM Office (Miscellaneous)
Heavy vehicles blocking main road near Park.,Transport
Unauthorized shops set up near Market. pls do something asap!,Development Authority
department staff being rude and unhelpful.,CM Office (Miscellaneous)
Public toilet at Temple is dirty and broken.,Municipal
Overhead bridge construction delayed near Metro Station.,Public Works Department
"Theft occurred at Main Road, no police arrived yet. pls do something asap!",Police
Suspicious activities happening around Highway every night.,Police
No sanitation workers seen for a week at Market.,Municipal
group of men harassing women n colony.,Police
Drainage blocked near School causing flooding.,Public Works Department
"Theft occurred at Colony, no police arrived yet.",Police
Dumping of debris on open land near School.,Development Authority
Stray dogs attacking people near Metro Station.,Municipal
Chain snatching reported yesterday near Hospital.,Police
Road at School has deep potholes causing accidents.,Public Works Department
Grievance No. CM2428 pending without update.,CM Office (Miscellaneous)
Assault reported outside Colony. pls do something asap!,Police
Buses not stopping at Temple despite schedule.,Transport
newly constructed footp@h @ market already broken.,Public Works Department
"Loud music playing late night at Park, no action taken. pls do something asap!",Police
Overhead bridge construction delayed near Bus Stand.,Public Works Department
plot boundaries changed illegally n metro st@ion.,Development Authority
Encroachment on government land near Main Road.,Development Authority
Illegal construction at Bus Stand blocking road access.,Development Authority
plot boundaries changed illegally n metro st@ion.,Development Authority
"Road divider missing near Park, causing accidents.",Transport
Broken road divider at Bus Stand creating risk for vehicles.,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Overhead bridge construction delayed near Bus Stand.,Public Works Department
"road divider missing n temple, causing accidents.",Transport
road @ main road has deep potholes causing accidents.,Public Works Department
Grievance No. CM3290 pending without update.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Stray dogs attacking people near Hospital.,Municipal
Frequent traffic jams near Hospital.,Transport
Footpath tiles uneven and dangerous near School.,Public Works Department
Grievance No. CM5618 pending without update. pls do something asap!,CM Office (Miscellaneous)
Suspicious activities happening around Colony every night.,Police
"Road divider missing near Colony, causing accidents.",Transport
Broken road divider at Metro Station creating risk for vehicles.,Public Works Department
Open manhole causing danger near Market.,Municipal
"drainage overflow @ bus stand, foul smell everywhere.",Municipal
chain sn@ching reported yesterday n market.,Police
Stray dogs attacking people near Park.,Municipal
encroachment on government land n hospital.,Development Authority
Building being constructed without permission near Highway.,Development Authority
Assault reported outside Hospital. pls do something asap!,Police
Public toilet at Colony is dirty and broken.,Municipal
Grievance No. CM9916 pending without update.,CM Office (Miscellaneous)
Grievance No. CM3673 pending without update.,CM Office (Miscellaneous)
Water supply disrupted since 11 days in Bus Stand.,Municipal
Traffic signal malfunctioning near Metro Station.,Transport
Plot boundaries changed illegally near School. pls do something asap!,Development Authority
building being constructed without permission n bus stand.,Development Authority
Encroachment on government land near School.,Development Authority
Footpath tiles uneven and dangerous near School.,Public Works Department
Bus stop shelter at Hospital damaged and unsafe.,Transport
Cement road at Metro Station cracked within a week of repair.,Public Works Department
Buses not stopping at Hospital despite schedule.,Transport
Road at Highway has deep potholes causing accidents.,Public Works Department
Chain snatching reported yesterday near Market.,Police
Bus stop shelter at Hospital damaged and unsafe. pls do something asap!,Transport
Still waiting for action on request raised 11 days ago.,CM Office (Miscellaneous)
Road at Colony has deep potholes causing accidents.,Public Works Department
cement road @ temple cracked within a week of repair.,Public Works Department
Drainage blocked near Main Road causing flooding.,Public Works Department
Frequent traffic jams near Bus Stand.,Transport
road @ highway has deep potholes causing accidents.,Public Works Department
Stray dogs attacking people near Metro Station.,Municipal
Drainage blocked near Metro Station causing flooding. pls do something asap!,Public Works Department
No sanitation workers seen for a week at Market.,Municipal
Suspicious activities happening around Main Road every night.,Police
Footpath tiles uneven and dangerous near Metro Station.,Public Works Department
Assault reported outside Highway.,Police
cement road @ park cracked within a week of repair.,Public Works Department
Illegal hoardings at Main Road causing obstruction.,Development Authority
Still waiting for action on request raised 6 days ago.,CM Office (Miscellaneous)
Illegal hoardings at Main Road causing obstruction.,Development Authority
"Loud music playing late night at Colony, no action taken.",Police
Officials not responding to grievance at Hospital.,CM Office (Miscellaneous)
Bus stop shelter at Bus Stand damaged and unsafe.,Transport
Group of men harassing women near Temple.,Police
Garbage not collected for 6 days near Metro Station. pls do something asap!,Municipal
Land dispute reported at School.,Development Authority
Public nuisance by drunk people at Main Road.,Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Suspicious activities happening around Hospital every night.,Police
Drainage blocked near Park causing flooding.,Public Works Department
building being constructed without permission n metro st@ion.,Development Authority
public toilet @ school is dirty and broken.,Municipal
Frequent delays in public buses at Market.,Transport
Newly constructed footpath at Metro Station already broken.,Public Works Department
Overhead bridge construction delayed near Colony.,Public Works Department
Frequent delays in public buses at Temple. pls do something asap!,Transport
Buses not stopping at Colony despite schedule.,Transport
Street repair left incomplete at Hospital.,Public Works Department
Newly constructed footpath at Hospital already broken.,Public Works Department
Public toilet at Highway is dirty and broken.,Municipal
Newly constructed footpath at Highway already broken.,Public Works Department
chain sn@ching reported yesterday n market.,Police
Chain snatching reported yesterday near Main Road.,Police
Unauthorized shops set up near Bus Stand.,Development Authority
"burglary reported @ market, no investig@ion done.",Police
Newly constructed footpath at Temple already broken.,Public Works Department
"Loud music playing late night at Park, no action taken.",Police
Land dispute reported at Park.,Development Authority
"Loud music playing late night at Market, no action taken.",Police
"Theft occurred at Park, no police arrived yet.",Police
Dumping of debris on open land near Hospital.,Development Authority
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Land dispute reported at Temple. pls do something asap!,Development Authority
Auto drivers overcharging passengers near Main Road. pls do something asap!,Transport
Suspicious activities happening around Main Road every night.,Police
Repeated complaints ignored by department.,CM Office (Miscellaneous)
dumping of debris on open land n bus stand.,Development Authority
repe@ed complaints ignored by department.,CM Office (Miscellaneous)
Unauthorized shops set up near Bus Stand.,Development Authority
Broken road divider at School creating risk for vehicles.,Public Works Department
"Drainage overflow at Bus Stand, foul smell everywhere.",Municipal
auto drivers overcharging passengers n main road.,Transport
suspicious activities happening around school every night.,Police
Buses not stopping at Metro Station despite schedule.,Transport
"Theft occurred at Bus Stand, no police arrived yet. pls do something asap!",Police
Drainage blocked near Temple causing flooding.,Public Works Department
Encroachment on government land near Bus Stand. pls do something asap!,Development Authority
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
auto drivers overcharging passengers n highway.,Transport
Water supply disrupted since 3 days in School.,Municipal
Public nuisance by drunk people at Metro Station.,Police
Heavy vehicles blocking main road near Market. pls do something asap!,Transport
Encroachment on government land near Hospital.,Development Authority
Plot boundaries changed illegally near Bus Stand. pls do something asap!,Development Authority
Buses not stopping at Temple despite schedule.,Transport
Open manhole causing danger near Market.,Municipal
Still waiting for action on request raised 9 days ago.,CM Office (Miscellaneous)
Encroachment on government land near Metro Station.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
"Loud music playing late night at Bus Stand, no action taken.",Police
Illegal construction at Metro Station blocking road access.,Development Authority
"Loud music playing late night at Market, no action taken.",Police
Traffic signal malfunctioning near Main Road.,Transport
"Streetlight not working in Market, unsafe at night.",Municipal
Auto drivers overcharging passengers near Highway.,Transport
Illegal construction at Metro Station blocking road access.,Development Authority
Overhead bridge construction delayed near School.,Public Works Department
Public toilet at Market is dirty and broken.,Municipal
Grievance No. CM6872 pending without update. pls do something asap!,CM Office (Miscellaneous)
Frequent traffic jams near School.,Transport
Public nuisance by drunk people at Hospital.,Police
Garbage not collected for 10 days near Market.,Municipal
drainage blocked n highway causing flooding.,Public Works Department
"Drainage overflow at Highway, foul smell everywhere.",Municipal
no sanit@ion workers seen fr a week @ bus stand.,Municipal
Public nuisance by drunk people at Park.,Police
Public toilet at Colony is dirty and broken.,Municipal
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Garbage not collected for 4 days near Park.,Municipal
"Burglary reported at School, no investigation done.",Police
"burglary reported @ highway, no investig@ion done.",Police
Water supply disrupted since 3 days in Main Road.,Municipal
Plot boundaries changed illegally near Metro Station. pls do something asap!,Development Authority
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Illegal hoardings at Highway causing obstruction.,Development Authority
Illegal hoardings at Hospital causing obstruction.,Development Authority
No sanitation workers seen for a week at Market.,Municipal
Land dispute reported at Metro Station.,Development Authority
Traffic signal malfunctioning near Bus Stand.,Transport
Street repair left incomplete at Highway.,Public Works Department
Building being constructed without permission near Bus Stand.,Development Authority
frequent traffic jams n metro st@ion.,Transport
encroachment on government land n school.,Development Authority
Illegal hoardings at School causing obstruction.,Development Authority
Illegal hoardings at Hospital causing obstruction. pls do something asap!,Development Authority
No sanitation workers seen for a week at Highway.,Municipal
Building being constructed without permission near Main Road. pls do something asap!,Development Authority
Garbage not collected for 7 days near Park.,Municipal
Public nuisance by drunk people at Park.,Police
buses not stopping @ park despite schedule.,Transport
Assault reported outside Main Road.,Police
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
"Theft occurred at Bus Stand, no police arrived yet.",Police
Water supply disrupted since 3 days in Highway.,Municipal
Cement road at Park cracked within a week of repair.,Public Works Department
Group of men harassing women near Market.,Police
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Suspicious activities happening around Market every night.,Police
Dumping of debris on open land near Hospital.,Development Authority
encroachment on government land n bus stand.,Development Authority
Footpath tiles uneven and dangerous near Main Road.,Public Works Department
Cement road at Metro Station cracked within a week of repair.,Public Works Department
Drainage blocked near Park causing flooding.,Public Works Department
Footpath tiles uneven and dangerous near Colony.,Public Works Department
officials not responding to grievance @ metro st@ion. pls do something asap!,CM Office (Miscellaneous)
Suspicious activities happening around Colony every night.,Police
Illegal construction at Park blocking road access.,Development Authority
"Burglary reported at Park, no investigation done.",Police
online complaint portal not working fr several days.,CM Office (Miscellaneous)
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
illegal construction @ main road blocking road access.,Development Authority
Frequent delays in public buses at Temple.,Transport
Still waiting for action on request raised 9 days ago.,CM Office (Miscellaneous)
chain sn@ching reported yesterday n bus stand.,Police
Repeated complaints ignored by department.,CM Office (Miscellaneous)
department staff being rude and unhelpful.,CM Office (Miscellaneous)
Bus stop shelter at Park damaged and unsafe.,Transport
"Streetlight not working in Park, unsafe at night.",Municipal
Drainage blocked near Market causing flooding.,Public Works Department
Street repair left incomplete at Temple.,Public Works Department
Dumping of debris on open land near Market.,Development Authority
Road at Bus Stand has deep potholes causing accidents.,Public Works Department
"Drainage overflow at Highway, foul smell everywhere.",Municipal
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Broken road divider at Bus Stand creating risk for vehicles.,Public Works Department
Footpath tiles uneven and dangerous near Highway.,Public Works Department
frequent delays in public buses @ colony.,Transport
Frequent delays in public buses at Bus Stand.,Transport
No sanitation workers seen for a week at Highway.,Municipal
Drainage blocked near Highway causing flooding.,Public Works Department
"Theft occurred at Bus Stand, no police arrived yet.",Police
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Group of men harassing women near Colony.,Police
no acknowledgment received fr complaint submitted last week.,CM Office (Miscellaneous)
Still waiting for action on request raised 11 days ago.,CM Office (Miscellaneous)
Encroachment on government land near Hospital.,Development Authority
Road at Temple has deep potholes causing accidents.,Public Works Department
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Drainage blocked near Market causing flooding.,Public Works Department
Illegal construction at Colony blocking road access.,Development Authority
Plot boundaries changed illegally near Park.,Development Authority
"Road divider missing near Highway, causing accidents.",Transport
repe@ed complaints ignored by department.,CM Office (Miscellaneous)
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Plot boundaries changed illegally near Bus Stand.,Development Authority
"Loud music playing late night at Colony, no action taken.",Police
Illegal hoardings at Bus Stand causing obstruction. pls do something asap!,Development Authority
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Buses not stopping at Bus Stand despite schedule.,Transport
Frequent delays in public buses at Metro Station.,Transport
Open manhole causing danger near School.,Municipal
"theft occurred @ main road, no police arrived yet.",Police
Group of men harassing women near Colony.,Police
Broken road divider at Metro Station creating risk for vehicles.,Public Works Department
"Drainage overflow at Metro Station, foul smell everywhere.",Municipal
Buses not stopping at School despite schedule.,Transport
No sanitation workers seen for a week at Market.,Municipal
Open manhole causing danger near Hospital.,Municipal
Officials not responding to grievance at School.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
drainage blocked n temple causing flooding. pls do something asap!,Public Works Department
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Public toilet at Market is dirty and broken.,Municipal
Street repair left incomplete at Temple.,Public Works Department
Public toilet at Park is dirty and broken.,Municipal
Garbage not collected for 9 days near Market.,Municipal
Land dispute reported at Highway.,Development Authority
Officials not responding to grievance at Market.,CM Office (Miscellaneous)
Drainage blocked near Metro Station causing flooding.,Public Works Department
Water supply disrupted since 11 days in Park.,Municipal
no acknowledgment received fr complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
Newly constructed footpath at Park already broken.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
broken road divider @ hospital cre@ing risk fr vehicles.,Public Works Department
Buses not stopping at Park despite schedule.,Transport
Overhead bridge construction delayed near Colony.,Public Works Department
Stray dogs attacking people near Main Road.,Municipal
Footpath tiles uneven and dangerous near Temple.,Public Works Department
Traffic signal malfunctioning near Market.,Transport
encroachment on government land n market. pls do something asap!,Development Authority
Building being constructed without permission near Hospital.,Development Authority
Plot boundaries changed illegally near Metro Station.,Development Authority
No sanitation workers seen for a week at Market.,Municipal
dumping of debris on open land n market.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
"burglary reported @ school, no investig@ion done.",Police
Overhead bridge construction delayed near Colony.,Public Works Department
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Land dispute reported at Temple.,Development Authority
Grievance No. CM5017 pending without update.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Assault reported outside Hospital.,Police
Street repair left incomplete at Colony.,Public Works Department
Frequent delays in public buses at Main Road.,Transport
auto drivers overcharging passengers n market.,Transport
Public toilet at Main Road is dirty and broken.,Municipal
"Drainage overflow at Hospital, foul smell everywhere.",Municipal
Buses not stopping at Market despite schedule.,Transport
street repair left incomplete @ main road.,Public Works Department
Broken road divider at Metro Station creating risk for vehicles.,Public Works Department
Garbage not collected for 2 days near Bus Stand.,Municipal
Newly constructed footpath at Hospital already broken.,Public Works Department
Heavy vehicles blocking main road near Highway.,Transport
Illegal construction at Park blocking road access.,Development Authority
"Theft occurred at Colony, no police arrived yet. pls do something asap!",Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Open manhole causing danger near Temple.,Municipal
Still waiting for action on request raised 9 days ago.,CM Office (Miscellaneous)
cement road @ metro st@ion cracked within a week of repair.,Public Works Department
Chain snatching reported yesterday near Market.,Police
Assault reported outside Bus Stand.,Police
Building being constructed without permission near Park.,Development Authority
Bus stop shelter at Park damaged and unsafe.,Transport
land dispute reported @ colony.,Development Authority
Overhead bridge construction delayed near School. pls do something asap!,Public Works Department
Suspicious activities happening around School every night.,Police
Public toilet at School is dirty and broken.,Municipal
Public nuisance by drunk people at Main Road.,Police
Dumping of debris on open land near School. pls do something asap!,Development Authority
Road at Metro Station has deep potholes causing accidents.,Public Works Department
Illegal hoardings at Park causing obstruction.,Development Authority
Suspicious activities happening around Temple every night.,Police
Cement road at Main Road cracked within a week of repair.,Public Works Department
Overhead bridge construction delayed near Bus Stand.,Public Works Department
Suspicious activities happening around Market every night.,Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
"road divider missing n school, causing accidents.",Transport
Frequent traffic jams near Bus Stand.,Transport
Unauthorized shops set up near Highway.,Development Authority
No sanitation workers seen for a week at Bus Stand.,Municipal
Newly constructed footpath at Main Road already broken.,Public Works Department
Drainage blocked near School causing flooding.,Public Works Department
Drainage blocked near Bus Stand causing flooding.,Public Works Department
Grievance No. CM3784 pending without update.,CM Office (Miscellaneous)
Group of men harassing women near Metro Station.,Police
Frequent traffic jams near Metro Station.,Transport
Street repair left incomplete at Market.,Public Works Department
no acknowledgment received fr complaint submitted last week.,CM Office (Miscellaneous)
Encroachment on government land near School.,Development Authority
Encroachment on government land near Market.,Development Authority
Auto drivers overcharging passengers near School.,Transport
"loud music playing l@e night @ school, no action taken.",Police
Auto drivers overcharging passengers near Temple. pls do something asap!,Transport
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
"Burglary reported at Bus Stand, no investigation done.",Police
Road at Colony has deep potholes causing accidents.,Public Works Department
overhead bridge construction delayed n school.,Public Works Department
Water supply disrupted since 10 days in Colony.,Municipal
Open manhole causing danger near Metro Station.,Municipal
Water supply disrupted since 7 days in Highway.,Municipal
Auto drivers overcharging passengers near Bus Stand.,Transport
public nuisance by drunk people @ hospital.,Police
Broken road divider at Hospital creating risk for vehicles. pls do something asap!,Public Works Department
illegal construction @ market blocking road access.,Development Authority
Open manhole causing danger near School.,Municipal
Frequent traffic jams near Main Road.,Transport
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Stray dogs attacking people near School.,Municipal
Frequent delays in public buses at Market.,Transport
"Streetlight not working in Main Road, unsafe at night. pls do something asap!",Municipal
Dumping of debris on open land near Metro Station.,Development Authority
illegal hoardings @ bus stand causing obstruction. pls do something asap!,Development Authority
Land dispute reported at Main Road.,Development Authority
Broken road divider at Temple creating risk for vehicles.,Public Works Department
Broken road divider at School creating risk for vehicles.,Public Works Department
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Building being constructed without permission near Bus Stand. pls do something asap!,Development Authority
Repeated complaints ignored by department.,CM Office (Miscellaneous)
no acknowledgment received fr complaint submitted last week.,CM Office (Miscellaneous)
Water supply disrupted since 5 days in Main Road. pls do something asap!,Municipal
Cement road at Market cracked within a week of repair.,Public Works Department
"Burglary reported at Main Road, no investigation done.",Police
Suspicious activities happening around Main Road every night.,Police
Open manhole causing danger near Bus Stand.,Municipal
"Theft occurred at Hospital, no police arrived yet. pls do something asap!",Police
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Suspicious activities happening around Park every night.,Police
Chain snatching reported yesterday near Temple.,Police
Traffic signal malfunctioning near Park. pls do something asap!,Transport
traffic signal malfunctioning n metro st@ion.,Transport
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Bus stop shelter at Park damaged and unsafe.,Transport
Repeated complaints ignored by department.,CM Office (Miscellaneous)
"Loud music playing late night at Temple, no action taken.",Police
Group of men harassing women near Highway.,Police
Traffic signal malfunctioning near School.,Transport
garbage not collected fr 11 days n colony.,Municipal
Assault reported outside Temple.,Police
Land dispute reported at Highway.,Development Authority
Stray dogs attacking people near Main Road.,Municipal
footp@h tiles uneven and dangerous n bus stand.,Public Works Department
bus stop shelter @ park damaged and unsafe.,Transport
"Loud music playing late night at Main Road, no action taken. pls do something asap!",Police
filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
"loud music playing l@e night @ bus stand, no action taken.",Police
"Loud music playing late night at Market, no action taken.",Police
heavy vehicles blocking main road n park.,Transport
Stray dogs attacking people near Park.,Municipal
Broken road divider at Hospital creating risk for vehicles.,Public Works Department
Illegal construction at Highway blocking road access.,Development Authority
Frequent delays in public buses at Park.,Transport
Street repair left incomplete at Bus Stand.,Public Works Department
"Road divider missing near Highway, causing accidents.",Transport
Illegal construction at Main Road blocking road access.,Development Authority
Buses not stopping at Colony despite schedule.,Transport
Stray dogs attacking people near Hospital.,Municipal
buses not stopping @ main road despite schedule.,Transport
Stray dogs attacking people near Bus Stand.,Municipal
open manhole causing danger n hospital.,Municipal
Bus stop shelter at Park damaged and unsafe.,Transport
Encroachment on government land near School.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Drainage blocked near School causing flooding.,Public Works Department
Encroachment on government land near Metro Station.,Development Authority
Frequent traffic jams near Market.,Transport
Traffic signal malfunctioning near Bus Stand.,Transport
auto drivers overcharging passengers n market.,Transport
Road at Metro Station has deep potholes causing accidents.,Public Works Department
Cement road at Park cracked within a week of repair.,Public Works Department
Public toilet at Park is dirty and broken.,Municipal
Drainage blocked near Hospital causing flooding.,Public Works Department
Drainage blocked near Colony causing flooding.,Public Works Department
Public toilet at Park is dirty and broken.,Municipal
"Burglary reported at Hospital, no investigation done. pls do something asap!",Police
Newly constructed footpath at Main Road already broken.,Public Works Department
Buses not stopping at Bus Stand despite schedule.,Transport
Heavy vehicles blocking main road near Highway.,Transport
Frequent traffic jams near Bus Stand.,Transport
Road at Park has deep potholes causing accidents.,Public Works Department
Open manhole causing danger near Temple.,Municipal
Cement road at Hospital cracked within a week of repair.,Public Works Department
Footpath tiles uneven and dangerous near Bus Stand.,Public Works Department
Grievance No. CM7285 pending without update.,CM Office (Miscellaneous)
Grievance No. CM6442 pending without update.,CM Office (Miscellaneous)
Overhead bridge construction delayed near Metro Station.,Public Works Department
Building being constructed without permission near Main Road.,Development Authority
Broken road divider at Colony creating risk for vehicles.,Public Works Department
Open manhole causing danger near Colony.,Municipal
Street repair left incomplete at Colony.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
heavy vehicles blocking main road n highway.,Transport
Illegal hoardings at Bus Stand causing obstruction.,Development Authority
Water supply disrupted since 4 days in Temple.,Municipal
Overhead bridge construction delayed near Temple.,Public Works Department
Building being constructed without permission near Highway.,Development Authority
Encroachment on government land near Bus Stand.,Development Authority
Officials not responding to grievance at School.,CM Office (Miscellaneous)
Encroachment on government land near School.,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Group of men harassing women near Metro Station.,Police
"loud music playing l@e night @ temple, no action taken.",Police
Garbage not collected for 9 days near Metro Station.,Municipal
street repair left incomplete @ metro st@ion.,Public Works Department
Building being constructed without permission near Metro Station.,Development Authority
Land dispute reported at Hospital.,Development Authority
Chain snatching reported yesterday near Park.,Police
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Cement road at Highway cracked within a week of repair.,Public Works Department
Stray dogs attacking people near Market.,Municipal
Public toilet at Hospital is dirty and broken.,Municipal
Officials not responding to grievance at Market.,CM Office (Miscellaneous)
No sanitation workers seen for a week at Colony.,Municipal
Illegal hoardings at Metro Station causing obstruction.,Development Authority
Garbage not collected for 6 days near Hospital.,Municipal
Heavy vehicles blocking main road near Main Road.,Transport
Newly constructed footpath at Metro Station already broken. pls do something asap!,Public Works Department
filed complaint weeks ago but no response received. pls do something asap!,CM Office (Miscellaneous)
broken road divider @ school cre@ing risk fr vehicles.,Public Works Department
Footpath tiles uneven and dangerous near School.,Public Works Department
Grievance No. CM5167 pending without update.,CM Office (Miscellaneous)
Heavy vehicles blocking main road near Highway. pls do something asap!,Transport
"Drainage overflow at Highway, foul smell everywhere.",Municipal
Frequent traffic jams near Main Road.,Transport
