Description,Category
Waste dumped on roadside in Central Avenue. please resolve soon.,Municipal
"Unfair practices in local department reported, please look into it. facing issues since last week.",CM Office (Miscellaneous)
Bus shelter at MG Road broken and unsafe.,Transport
"Footpath broken near Lakeview, pedestrians facing issues. request urgent action.",Public Works Department
Stormwater drain collapsed near city mall. please resolve soon.,Public Works Department
Need urgent help regarding electricity bill issue. facing issues since last week.,CM Office (Miscellaneous)
Violation of building norms at bus stop. kindly look into this.,Development Authority
Water stagnation near railway station due to poor drainage. facing issues since last week.,Public Works Department
Unauthorized shops operating near bus depot. kindly look into this.,Development Authority
Unhygienic conditions near market in MG Road. request urgent action.,Municipal
There is frequent eve teasing near the school. kindly look into this.,Police
Road full of potholes at temple. facing issues since last week.,Public Works Department
Heavy traffic jam at main road every morning. needs immediate attention.,Transport
Drainage overflow causing bad smell near railway station. please resolve soon.,Municipal
Road full of potholes at main road. facing issues since last week.,Public Works Department
Flyover construction delay leading to congestion. facing issues since last week.,Transport
Staff behavior rude and unhelpful in office. kindly look into this.,CM Office (Miscellaneous)
Loud noise and public nuisance every night around market area. kindly look into this.,Police
Flyover joints damaged and causing vehicle imbalance. please resolve soon.,Public Works Department
Flyover construction delay leading to congestion. facing issues since last week.,Transport
People fighting daily at the hospital. request urgent action.,Police
Open manhole in bus stop dangerous for kids. situation getting worse.,Municipal
Accidents happening due to no speed breakers at bus stop. kindly look into this.,Transport
Stray dogs attacking people in XYZ Nagar. needs immediate attention.,Municipal
Online complaint portal not working for days. situation getting worse.,CM Office (Miscellaneous)
Garbage not collected in Sector 12 for several days. situation getting worse.,Municipal
Streetlights not working since last week in XYZ Nagar. request urgent action.,Municipal
Poor road markings making driving difficult. needs immediate attention.,Transport
There is frequent eve teasing near the school. situation getting worse.,Police
Staff behavior rude and unhelpful in office. request urgent action.,CM Office (Miscellaneous)
Bus route 55 not running on time for several days. request urgent action.,Transport
"Unfair practices in local department reported, please look into it.",CM Office (Miscellaneous)
Heavy traffic jam at hospital every morning. needs immediate attention.,Transport
Broken divider near city mall causing jams. facing issues since last week.,Transport
Waste dumped on roadside in XYZ Nagar. situation getting worse.,Municipal
Broken divider near junction causing jams.,Transport
Bus shelter at Downtown broken and unsafe. please resolve soon.,Transport
Government office not responding to complaints. needs immediate attention.,CM Office (Miscellaneous)
Drunken men creating disturbance in MG Road. facing issues since last week.,Police
Land encroachment by private party near hospital. request urgent action.,Development Authority
Drunken men creating disturbance in Lakeview. request urgent action.,Police
Flyover construction delay leading to congestion. please resolve soon.,Transport
There is frequent eve teasing near the hospital. please resolve soon.,Police
Plot disputes not being resolved on time.,Development Authority
Illegal gambling happening behind city mall. please resolve soon.,Police
Unauthorized shops operating near signal point. situation getting worse.,Development Authority
Land encroachment by private party near park. needs immediate attention.,Development Authority
Need urgent help regarding electricity bill issue.,CM Office (Miscellaneous)
Illegal construction happening on ring road. kindly look into this.,Development Authority
Application not processed even after multiple visits. facing issues since last week.,CM Office (Miscellaneous)
Encroachment on public land at bus stop. request urgent action.,Development Authority
Need urgent help regarding electricity bill issue. kindly look into this.,CM Office (Miscellaneous)
"Footpath broken near Lakeview, pedestrians facing issues. please resolve soon.",Public Works Department
Robbery incident reported near market area. kindly look into this.,Police
Road full of potholes at school.,Public Works Department
Accidents happening due to no speed breakers at railway station. request urgent action.,Transport
Application not processed even after multiple visits. facing issues since last week.,CM Office (Miscellaneous)
Loud noise and public nuisance every night around railway station. situation getting worse.,Police
Complaint regarding layout approval delay. needs immediate attention.,Development Authority
Robbery incident reported near railway station. please resolve soon.,Police
Theft cases increasing in Green Park. Please increase patrolling. kindly look into this.,Police
Broken divider near bus depot causing jams. needs immediate attention.,Transport
Bus route 17 not running on time for several days. facing issues since last week.,Transport
Garbage not collected in XYZ Nagar for several days. facing issues since last week.,Municipal
Government office not responding to complaints. facing issues since last week.,CM Office (Miscellaneous)
Flyover construction delay leading to congestion. needs immediate attention.,Transport
Bus route 15 not running on time for several days. please resolve soon.,Transport
Public dustbins overflowing and not cleaned. situation getting worse.,Municipal
Unauthorized shops operating near junction.,Development Authority
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
Robbery incident reported near market area. please resolve soon.,Police
Poor road markings making driving difficult. needs immediate attention.,Transport
Pedestrian crossing signal not working at bus stop. situation getting worse.,Transport
"Footpath broken near Central Avenue, pedestrians facing issues. needs immediate attention.",Public Works Department
Broken divider near bus depot causing jams. situation getting worse.,Transport
Complaint regarding layout approval delay.,Development Authority
Illegal gambling happening behind junction. request urgent action.,Police
Water stagnation near bus stop due to poor drainage. needs immediate attention.,Public Works Department
Online complaint portal not working for days. kindly look into this.,CM Office (Miscellaneous)
"Footpath broken near Lakeview, pedestrians facing issues.",Public Works Department
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
Online complaint portal not working for days. please resolve soon.,CM Office (Miscellaneous)
Poor road markings making driving difficult. please resolve soon.,Transport
Pedestrian crossing signal not working at hospital. kindly look into this.,Transport
Chain snatching reported near signal point. Please take action. needs immediate attention.,Police
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
Land encroachment by private party near bus stop. facing issues since last week.,Development Authority
Online complaint portal not working for days. please resolve soon.,CM Office (Miscellaneous)
Public dustbins overflowing and not cleaned. kindly look into this.,Municipal
Flyover construction delay leading to congestion. facing issues since last week.,Transport
Loud noise and public nuisance every night around hospital. situation getting worse.,Police
Land encroachment by private party near school. facing issues since last week.,Development Authority
Online complaint portal not working for days.,CM Office (Miscellaneous)
Public dustbins overflowing and not cleaned. situation getting worse.,Municipal
Application not processed even after multiple visits. please resolve soon.,CM Office (Miscellaneous)
Road full of potholes at school. situation getting worse.,Public Works Department
Need urgent help regarding electricity bill issue. needs immediate attention.,CM Office (Miscellaneous)
People blocking roads with illegal sheds. please resolve soon.,Development Authority
Drainage overflow causing bad smell near bus stop. kindly look into this.,Municipal
Water stagnation near railway station due to poor drainage. request urgent action.,Public Works Department
Bridge under repair for months at signal point. needs immediate attention.,Public Works Department
Drainage overflow causing bad smell near park. facing issues since last week.,Municipal
Complaint regarding layout approval delay. kindly look into this.,Development Authority
Need urgent help regarding electricity bill issue. please resolve soon.,CM Office (Miscellaneous)
Police not responding quickly during emergencies. please resolve soon.,Police
Construction debris dumped near Central Avenue. request urgent action.,Development Authority
Need urgent help regarding electricity bill issue. facing issues since last week.,CM Office (Miscellaneous)
Construction debris dumped near Green Park. request urgent action.,Development Authority
Fogging not done properly leading to mosquito menace.,Municipal
Delay in pension disbursement for seniors. request urgent action.,CM Office (Miscellaneous)
Application not processed even after multiple visits. please resolve soon.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer. please resolve soon.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office. kindly look into this.,CM Office (Miscellaneous)
Violation of building norms at park.,Development Authority
"Footpath broken near XYZ Nagar, pedestrians facing issues. kindly look into this.",Public Works Department
Government office not responding to complaints. facing issues since last week.,CM Office (Miscellaneous)
Broken divider near signal point causing jams. please resolve soon.,Transport
Robbery incident reported near railway station. needs immediate attention.,Police
"Unfair practices in local department reported, please look into it. kindly look into this.",CM Office (Miscellaneous)
Construction debris dumped near Downtown. situation getting worse.,Development Authority
Online complaint portal not working for days. needs immediate attention.,CM Office (Miscellaneous)
Delay in pension disbursement for seniors. request urgent action.,CM Office (Miscellaneous)
Online complaint portal not working for days. kindly look into this.,CM Office (Miscellaneous)
People fighting daily at the park. kindly look into this.,Police
Drainage overflow causing bad smell near school. kindly look into this.,Municipal
Accidents happening due to no speed breakers at park. please resolve soon.,Transport
Citizen grievance unresolved despite repeated attempts. situation getting worse.,CM Office (Miscellaneous)
Accidents happening due to no speed breakers at main road. request urgent action.,Transport
Garbage not collected in MG Road for several days. kindly look into this.,Municipal
Uneven road surface leading to traffic problems. kindly look into this.,Public Works Department
Garbage not collected in Central Avenue for several days. please resolve soon.,Municipal
Broken divider near city mall causing jams. facing issues since last week.,Transport
Flyover joints damaged and causing vehicle imbalance. kindly look into this.,Public Works Department
Pedestrian crossing signal not working at school. needs immediate attention.,Transport
Stormwater drain collapsed near community hall. request urgent action.,Public Works Department
Encroachment on public land at school.,Development Authority
Government office not responding to complaints. needs immediate attention.,CM Office (Miscellaneous)
Poor road markings making driving difficult. situation getting worse.,Transport
"Footpath broken near Green Park, pedestrians facing issues. facing issues since last week.",Public Works Department
Water leakage near 1st cross. needs immediate attention.,Municipal
Garbage not collected in Green Park for several days.,Municipal
Bus shelter at Sector 12 broken and unsafe. please resolve soon.,Transport
Water leakage near 1st cross. facing issues since last week.,Municipal
Plot disputes not being resolved on time. needs immediate attention.,Development Authority
Autos refusing passengers in MG Road. needs immediate attention.,Transport
Encroachment on public land at main road. facing issues since last week.,Development Authority
Pedestrian crossing signal not working at hospital.,Transport
Heavy traffic jam at school every morning. facing issues since last week.,Transport
Theft cases increasing in XYZ Nagar. Please increase patrolling. facing issues since last week.,Police
Waste dumped on roadside in ABC Colony. needs immediate attention.,Municipal
Violation of building norms at temple. please resolve soon.,Development Authority
"Unfair practices in local department reported, please look into it. request urgent action.",CM Office (Miscellaneous)
Open manhole in park dangerous for kids. kindly look into this.,Municipal
Road full of potholes at park. needs immediate attention.,Public Works Department
Illegal gambling happening behind city mall. kindly look into this.,Police
There is frequent eve teasing near the school.,Police
Stray dogs attacking people in Downtown. request urgent action.,Municipal
Autos refusing passengers in MG Road. situation getting worse.,Transport
Staff behavior rude and unhelpful in office. please resolve soon.,CM Office (Miscellaneous)
New road construction delayed at Central Avenue. facing issues since last week.,Public Works Department
Waste dumped on roadside in Green Park. request urgent action.,Municipal
Signal at city mall not functioning properly causing accidents. needs immediate attention.,Transport
Theft cases increasing in ABC Colony. Please increase patrolling. please resolve soon.,Police
There is frequent eve teasing near the main road. needs immediate attention.,Police
Streetlights not working since last week in ABC Colony. request urgent action.,Municipal
Need urgent help regarding electricity bill issue. facing issues since last week.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer. kindly look into this.,CM Office (Miscellaneous)
Citizen grievance unresolved despite repeated attempts.,CM Office (Miscellaneous)
Need urgent help regarding electricity bill issue. facing issues since last week.,CM Office (Miscellaneous)
Online complaint portal not working for days. situation getting worse.,CM Office (Miscellaneous)
Bus route 11 not running on time for several days. request urgent action.,Transport
Bridge under repair for months at city mall. kindly look into this.,Public Works Department
"Footpath broken near Lakeview, pedestrians facing issues.",Public Works Department
Women feel unsafe walking home after 7 PM. kindly look into this.,Police
Stormwater drain collapsed near community hall. situation getting worse.,Public Works Department
Need urgent help regarding electricity bill issue. kindly look into this.,CM Office (Miscellaneous)
Garbage not collected in Sector 12 for several days.,Municipal
Government office not responding to complaints. situation getting worse.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer.,CM Office (Miscellaneous)
Bus shelter at Central Avenue broken and unsafe. kindly look into this.,Transport
New road construction delayed at XYZ Nagar. please resolve soon.,Public Works Department
Need urgent help regarding electricity bill issue.,CM Office (Miscellaneous)
Need urgent help regarding electricity bill issue. request urgent action.,CM Office (Miscellaneous)
Poor road markings making driving difficult. situation getting worse.,Transport
Open manhole in park dangerous for kids. situation getting worse.,Municipal
Loud noise and public nuisance every night around park. please resolve soon.,Police
Accidents happening due to no speed breakers at park. kindly look into this.,Transport
Culvert repair pending at Hill View. request urgent action.,Public Works Department
Plot disputes not being resolved on time. please resolve soon.,Development Authority
People blocking roads with illegal sheds. facing issues since last week.,Development Authority
People fighting daily at the school. situation getting worse.,Police
Illegal construction happening on 1st cross. facing issues since last week.,Development Authority
Water stagnation near school due to poor drainage. facing issues since last week.,Public Works Department
People fighting daily at the bus stop. needs immediate attention.,Police
Illegal gambling happening behind signal point. request urgent action.,Police
Road full of potholes at main road. needs immediate attention.,Public Works Department
Citizen grievance unresolved despite repeated attempts. request urgent action.,CM Office (Miscellaneous)
Complaint regarding layout approval delay. request urgent action.,Development Authority
Loud noise and public nuisance every night around park. situation getting worse.,Police
Application not processed even after multiple visits. request urgent action.,CM Office (Miscellaneous)
Road full of potholes at park. facing issues since last week.,Public Works Department
Heavy traffic jam at bus stop every morning. situation getting worse.,Transport
Stormwater drain collapsed near junction. kindly look into this.,Public Works Department
Garbage not collected in MG Road for several days. needs immediate attention.,Municipal
People fighting daily at the main road.,Police
Unauthorized shops operating near community hall. situation getting worse.,Development Authority
Robbery incident reported near park.,Police
Drunken men creating disturbance in MG Road. needs immediate attention.,Police
Encroachment on public land at temple. situation getting worse.,Development Authority
Encroachment on public land at railway station. please resolve soon.,Development Authority
Robbery incident reported near park. kindly look into this.,Police
Theft cases increasing in MG Road. Please increase patrolling. request urgent action.,Police
Water stagnation near main road due to poor drainage. please resolve soon.,Public Works Department
Citizen grievance unresolved despite repeated attempts. kindly look into this.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office. request urgent action.,CM Office (Miscellaneous)
Online complaint portal not working for days.,CM Office (Miscellaneous)
Drunken men creating disturbance in Central Avenue. request urgent action.,Police
Uneven road surface leading to traffic problems. facing issues since last week.,Public Works Department
Uneven road surface leading to traffic problems. request urgent action.,Public Works Department
People fighting daily at the market area. kindly look into this.,Police
Women feel unsafe walking home after 7 PM.,Police
Pedestrian crossing signal not working at railway station. request urgent action.,Transport
Women feel unsafe walking home after 7 PM. needs immediate attention.,Police
Violation of building norms at market area. situation getting worse.,Development Authority
Theft cases increasing in Green Park. Please increase patrolling.,Police
Online complaint portal not working for days. needs immediate attention.,CM Office (Miscellaneous)
Delay in pension disbursement for seniors. please resolve soon.,CM Office (Miscellaneous)
Broken divider near community hall causing jams. request urgent action.,Transport
People fighting daily at the market area. kindly look into this.,Police
Bus route 56 not running on time for several days. please resolve soon.,Transport
Violation of building norms at temple. kindly look into this.,Development Authority
Road full of potholes at main road. situation getting worse.,Public Works Department
Plot disputes not being resolved on time. needs immediate attention.,Development Authority
There is frequent eve teasing near the railway station. request urgent action.,Police
"Unfair practices in local department reported, please look into it. situation getting worse.",CM Office (Miscellaneous)
People fighting daily at the railway station.,Police
Chain snatching reported near city mall. Please take action. facing issues since last week.,Police
Violation of building norms at railway station.,Development Authority
Violation of building norms at park. request urgent action.,Development Authority
Fogging not done properly leading to mosquito menace. request urgent action.,Municipal
People fighting daily at the temple.,Police
Culvert repair pending at Airport Road.,Public Works Department
There is frequent eve teasing near the railway station.,Police
Staff behavior rude and unhelpful in office. please resolve soon.,CM Office (Miscellaneous)
Theft cases increasing in Sector 12. Please increase patrolling. request urgent action.,Police
Pedestrian crossing signal not working at hospital.,Transport
Accidents happening due to no speed breakers at hospital. situation getting worse.,Transport
Police not responding quickly during emergencies. kindly look into this.,Police
Stormwater drain collapsed near signal point.,Public Works Department
Drunken men creating disturbance in XYZ Nagar. please resolve soon.,Police
Government office not responding to complaints.,CM Office (Miscellaneous)
Water leakage near 2nd street. please resolve soon.,Municipal
Application not processed even after multiple visits. request urgent action.,CM Office (Miscellaneous)
Road full of potholes at railway station. kindly look into this.,Public Works Department
Stormwater drain collapsed near petrol bunk. request urgent action.,Public Works Department
Citizen grievance unresolved despite repeated attempts. request urgent action.,CM Office (Miscellaneous)
Police not responding quickly during emergencies.,Police
People fighting daily at the park. needs immediate attention.,Police
Open manhole in main road dangerous for kids. kindly look into this.,Municipal
Staff behavior rude and unhelpful in office. please resolve soon.,CM Office (Miscellaneous)
Water leakage near ring road. facing issues since last week.,Municipal
Stormwater drain collapsed near signal point. facing issues since last week.,Public Works Department
Streetlights not working since last week in Sector 12. please resolve soon.,Municipal
Police not responding quickly during emergencies. request urgent action.,Police
New road construction delayed at Lakeview.,Public Works Department
"Unfair practices in local department reported, please look into it.",CM Office (Miscellaneous)
There is frequent eve teasing near the market area. please resolve soon.,Police
Bus shelter at Central Avenue broken and unsafe. situation getting worse.,Transport
Bridge under repair for months at bus depot. facing issues since last week.,Public Works Department
Government office not responding to complaints. request urgent action.,CM Office (Miscellaneous)
Pedestrian crossing signal not working at temple. kindly look into this.,Transport
Culvert repair pending at New Town. request urgent action.,Public Works Department
Need urgent help regarding electricity bill issue. request urgent action.,CM Office (Miscellaneous)
Signal at junction not functioning properly causing accidents. kindly look into this.,Transport
Illegal construction happening on 1st cross. needs immediate attention.,Development Authority
Signal at city mall not functioning properly causing accidents. facing issues since last week.,Transport
Land encroachment by private party near park. situation getting worse.,Development Authority
No proper communication from officials on issue raised. please resolve soon.,CM Office (Miscellaneous)
Open manhole in railway station dangerous for kids. facing issues since last week.,Municipal
Water stagnation near market area due to poor drainage. needs immediate attention.,Public Works Department
Culvert repair pending at Old City. needs immediate attention.,Public Works Department
Violation of building norms at bus stop. request urgent action.,Development Authority
Culvert repair pending at Hill View. kindly look into this.,Public Works Department
Delay in pension disbursement for seniors. please resolve soon.,CM Office (Miscellaneous)
Delay in pension disbursement for seniors. kindly look into this.,CM Office (Miscellaneous)
"Footpath broken near XYZ Nagar, pedestrians facing issues. needs immediate attention.",Public Works Department
Public dustbins overflowing and not cleaned. kindly look into this.,Municipal
Road full of potholes at main road. please resolve soon.,Public Works Department
Delay in pension disbursement for seniors. request urgent action.,CM Office (Miscellaneous)
Water stagnation near hospital due to poor drainage.,Public Works Department
"Unfair practices in local department reported, please look into it. please resolve soon.",CM Office (Miscellaneous)
Garbage not collected in Lakeview for several days. kindly look into this.,Municipal
People fighting daily at the main road.,Police
Application not processed even after multiple visits. please resolve soon.,CM Office (Miscellaneous)
Bus route 75 not running on time for several days. request urgent action.,Transport
"Street damaged after rain, vehicles skidding. request urgent action.",Public Works Department
Flyover construction delay leading to congestion. request urgent action.,Transport
"Unfair practices in local department reported, please look into it.",CM Office (Miscellaneous)
Application not processed even after multiple visits. facing issues since last week.,CM Office (Miscellaneous)
Chain snatching reported near city mall. Please take action. situation getting worse.,Police
Public dustbins overflowing and not cleaned. situation getting worse.,Municipal
Violation of building norms at market area.,Development Authority
Fogging not done properly leading to mosquito menace. request urgent action.,Municipal
New road construction delayed at XYZ Nagar. request urgent action.,Public Works Department
Open manhole in market area dangerous for kids. facing issues since last week.,Municipal
"Unfair practices in local department reported, please look into it. kindly look into this.",CM Office (Miscellaneous)
Construction debris dumped near Sector 12.,Development Authority
Open manhole in school dangerous for kids. please resolve soon.,Municipal
Complaint regarding layout approval delay. situation getting worse.,Development Authority
Road full of potholes at school. request urgent action.,Public Works Department
Theft cases increasing in Central Avenue. Please increase patrolling. kindly look into this.,Police
Road full of potholes at hospital. please resolve soon.,Public Works Department
Stray dogs attacking people in Green Park. kindly look into this.,Municipal
Illegal construction happening on 1st cross. please resolve soon.,Development Authority
Signal at petrol bunk not functioning properly causing accidents. situation getting worse.,Transport
Bridge under repair for months at petrol bunk. facing issues since last week.,Public Works Department
Waste dumped on roadside in MG Road. situation getting worse.,Municipal
Illegal construction happening on 2nd street. needs immediate attention.,Development Authority
New road construction delayed at XYZ Nagar. please resolve soon.,Public Works Department
Waste dumped on roadside in Central Avenue. needs immediate attention.,Municipal
There is frequent eve teasing near the market area. situation getting worse.,Police
Unhygienic conditions near market in Central Avenue.,Municipal
Streetlights not working since last week in Central Avenue. needs immediate attention.,Municipal
New road construction delayed at Central Avenue.,Public Works Department
Corruption complaint ignored by local officer. request urgent action.,CM Office (Miscellaneous)
No proper communication from officials on issue raised. needs immediate attention.,CM Office (Miscellaneous)
Violation of building norms at hospital. situation getting worse.,Development Authority
Broken divider near junction causing jams. needs immediate attention.,Transport
Stormwater drain collapsed near signal point. request urgent action.,Public Works Department
Flyover construction delay leading to congestion. needs immediate attention.,Transport
Poor road markings making driving difficult. facing issues since last week.,Transport
Illegal gambling happening behind signal point. request urgent action.,Police
Signal at community hall not functioning properly causing accidents.,Transport
New road construction delayed at Lakeview. request urgent action.,Public Works Department
Bus route 31 not running on time for several days. needs immediate attention.,Transport
Open manhole in park dangerous for kids. facing issues since last week.,Municipal
Flyover construction delay leading to congestion. needs immediate attention.,Transport
Garbage not collected in Sector 12 for several days. request urgent action.,Municipal
"Unfair practices in local department reported, please look into it. situation getting worse.",CM Office (Miscellaneous)
Unauthorized shops operating near community hall. kindly look into this.,Development Authority
Flyover construction delay leading to congestion. request urgent action.,Transport
Culvert repair pending at New Town. situation getting worse.,Public Works Department
People fighting daily at the bus stop. situation getting worse.,Police
Delay in pension disbursement for seniors. needs immediate attention.,CM Office (Miscellaneous)
Water stagnation near main road due to poor drainage.,Public Works Department
Garbage not collected in Central Avenue for several days. needs immediate attention.,Municipal
Need urgent help regarding electricity bill issue. facing issues since last week.,CM Office (Miscellaneous)
Bus route 7 not running on time for several days.,Transport
Heavy traffic jam at bus stop every morning. kindly look into this.,Transport
Water leakage near 1st cross. please resolve soon.,Municipal
Violation of building norms at hospital. kindly look into this.,Development Authority
Stray dogs attacking people in MG Road. facing issues since last week.,Municipal
Building without proper permission in Central Avenue. facing issues since last week.,Development Authority
Flyover construction delay leading to congestion.,Transport
Theft cases increasing in Green Park. Please increase patrolling. situation getting worse.,Police
Streetlights not working since last week in Central Avenue. request urgent action.,Municipal
People fighting daily at the park. request urgent action.,Police
No proper communication from officials on issue raised.,CM Office (Miscellaneous)
Need urgent help regarding electricity bill issue. situation getting worse.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office. facing issues since last week.,CM Office (Miscellaneous)
Illegal gambling happening behind petrol bunk. kindly look into this.,Police
Uneven road surface leading to traffic problems. kindly look into this.,Public Works Department
Flyover construction delay leading to congestion.,Transport
People fighting daily at the temple. kindly look into this.,Police
New road construction delayed at Green Park. kindly look into this.,Public Works Department
Police not responding quickly during emergencies. facing issues since last week.,Police
No proper communication from officials on issue raised. facing issues since last week.,CM Office (Miscellaneous)
Citizen grievance unresolved despite repeated attempts. please resolve soon.,CM Office (Miscellaneous)
Stray dogs attacking people in Central Avenue. please resolve soon.,Municipal
Broken divider near bus depot causing jams. kindly look into this.,Transport
Uneven road surface leading to traffic problems. facing issues since last week.,Public Works Department
Encroachment on public land at park. facing issues since last week.,Development Authority
Delay in pension disbursement for seniors. situation getting worse.,CM Office (Miscellaneous)
Building without proper permission in MG Road. request urgent action.,Development Authority
Corruption complaint ignored by local officer. needs immediate attention.,CM Office (Miscellaneous)
Water stagnation near hospital due to poor drainage.,Public Works Department
Women feel unsafe walking home after 7 PM. kindly look into this.,Police
Bus shelter at XYZ Nagar broken and unsafe. situation getting worse.,Transport
Flyover joints damaged and causing vehicle imbalance. facing issues since last week.,Public Works Department
Open manhole in bus stop dangerous for kids.,Municipal
Application not processed even after multiple visits. facing issues since last week.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer. situation getting worse.,CM Office (Miscellaneous)
Unhygienic conditions near market in MG Road.,Municipal
There is frequent eve teasing near the park. kindly look into this.,Police
"Street damaged after rain, vehicles skidding. please resolve soon.",Public Works Department
Stormwater drain collapsed near bus depot. please resolve soon.,Public Works Department
"Unfair practices in local department reported, please look into it. facing issues since last week.",CM Office (Miscellaneous)
Broken divider near community hall causing jams. needs immediate attention.,Transport
Bus route 91 not running on time for several days.,Transport
Public dustbins overflowing and not cleaned.,Municipal
People blocking roads with illegal sheds. request urgent action.,Development Authority
"Unfair practices in local department reported, please look into it. needs immediate attention.",CM Office (Miscellaneous)
Citizen grievance unresolved despite repeated attempts.,CM Office (Miscellaneous)
Illegal gambling happening behind community hall. request urgent action.,Police
Complaint regarding layout approval delay. please resolve soon.,Development Authority
Flyover joints damaged and causing vehicle imbalance. request urgent action.,Public Works Department
Flyover joints damaged and causing vehicle imbalance. please resolve soon.,Public Works Department
Illegal construction happening on 2nd street. needs immediate attention.,Development Authority
Stray dogs attacking people in XYZ Nagar. needs immediate attention.,Municipal
Road full of potholes at hospital. please resolve soon.,Public Works Department
Stray dogs attacking people in Central Avenue.,Municipal
"Footpath broken near Sector 12, pedestrians facing issues. facing issues since last week.",Public Works Department
Culvert repair pending at Hill View. request urgent action.,Public Works Department
Heavy traffic jam at railway station every morning. needs immediate attention.,Transport
Flyover construction delay leading to congestion. facing issues since last week.,Transport
Water stagnation near market area due to poor drainage. kindly look into this.,Public Works Department
Water leakage near 2nd street.,Municipal
Illegal construction happening on main bazaar road. situation getting worse.,Development Authority
Robbery incident reported near main road. needs immediate attention.,Police
Stormwater drain collapsed near signal point. please resolve soon.,Public Works Department
Drainage overflow causing bad smell near main road.,Municipal
Drunken men creating disturbance in Downtown.,Police
Chain snatching reported near city mall. Please take action. kindly look into this.,Police
Flyover construction delay leading to congestion. facing issues since last week.,Transport
Application not processed even after multiple visits. situation getting worse.,CM Office (Miscellaneous)
Flyover construction delay leading to congestion. situation getting worse.,Transport
"Street damaged after rain, vehicles skidding.",Public Works Department
"Street damaged after rain, vehicles skidding. please resolve soon.",Public Works Department
Application not processed even after multiple visits.,CM Office (Miscellaneous)
Public dustbins overflowing and not cleaned. facing issues since last week.,Municipal
Robbery incident reported near railway station. facing issues since last week.,Police
Flyover construction delay leading to congestion. kindly look into this.,Transport
Encroachment on public land at bus stop. facing issues since last week.,Development Authority
Waste dumped on roadside in XYZ Nagar. situation getting worse.,Municipal
Robbery incident reported near main road. kindly look into this.,Police
Flyover construction delay leading to congestion. kindly look into this.,Transport
Fogging not done properly leading to mosquito menace. needs immediate attention.,Municipal
Building without proper permission in ABC Colony. facing issues since last week.,Development Authority
"Unfair practices in local department reported, please look into it.",CM Office (Miscellaneous)
Streetlights not working since last week in Sector 12. kindly look into this.,Municipal
Need urgent help regarding electricity bill issue. please resolve soon.,CM Office (Miscellaneous)
Illegal construction happening on 2nd street. needs immediate attention.,Development Authority
Police not responding quickly during emergencies. situation getting worse.,Police
Illegal gambling happening behind petrol bunk. facing issues since last week.,Police
Online complaint portal not working for days. request urgent action.,CM Office (Miscellaneous)
Illegal gambling happening behind signal point. needs immediate attention.,Police
Land encroachment by private party near market area. needs immediate attention.,Development Authority
Signal at bus depot not functioning properly causing accidents.,Transport
Drunken men creating disturbance in ABC Colony. please resolve soon.,Police
Illegal construction happening on main bazaar road. request urgent action.,Development Authority
"Footpath broken near Central Avenue, pedestrians facing issues. situation getting worse.",Public Works Department
Accidents happening due to no speed breakers at market area. needs immediate attention.,Transport
Application not processed even after multiple visits. kindly look into this.,CM Office (Miscellaneous)
Theft cases increasing in XYZ Nagar. Please increase patrolling. request urgent action.,Police
Garbage not collected in Sector 12 for several days. facing issues since last week.,Municipal
Public dustbins overflowing and not cleaned. situation getting worse.,Municipal
Police not responding quickly during emergencies. situation getting worse.,Police
Accidents happening due to no speed breakers at park. please resolve soon.,Transport
Land encroachment by private party near park. needs immediate attention.,Development Authority
Drainage overflow causing bad smell near park. please resolve soon.,Municipal
Drunken men creating disturbance in Green Park. please resolve soon.,Police
Women feel unsafe walking home after 7 PM.,Police
Drunken men creating disturbance in Green Park. kindly look into this.,Police
Application not processed even after multiple visits.,CM Office (Miscellaneous)
Stormwater drain collapsed near junction. needs immediate attention.,Public Works Department
Citizen grievance unresolved despite repeated attempts. request urgent action.,CM Office (Miscellaneous)
Robbery incident reported near railway station. situation getting worse.,Police
Stormwater drain collapsed near signal point. needs immediate attention.,Public Works Department
Waste dumped on roadside in ABC Colony. request urgent action.,Municipal
Unauthorized shops operating near signal point.,Development Authority
Autos refusing passengers in Central Avenue. needs immediate attention.,Transport
Public dustbins overflowing and not cleaned. needs immediate attention.,Municipal
Uneven road surface leading to traffic problems. kindly look into this.,Public Works Department
Public dustbins overflowing and not cleaned. kindly look into this.,Municipal
Delay in pension disbursement for seniors. needs immediate attention.,CM Office (Miscellaneous)
Unauthorized shops operating near signal point. kindly look into this.,Development Authority
Stormwater drain collapsed near junction. please resolve soon.,Public Works Department
Theft cases increasing in XYZ Nagar. Please increase patrolling. please resolve soon.,Police
Building without proper permission in XYZ Nagar. situation getting worse.,Development Authority
